Team Name,Score,Problem Identification - Social/Industry Problem,Sustainability and Climate Relevance,Problem and Solution Validation,Innovativeness and Practical Realizability,User-Centric Design,Product-Market Fit,Growth Potential,Attendance,Team Composition
4OZONE,67,2,8,7,9,4,8,5,1,3
Aether,80,3,13,9,12,0,2,9,4,2
Aquilon,78,12,11,5,0,10,3,10,5,5
Aurora,83,0,3,8,13,10,6,6,3,0
BigBug,66,10,13,6,10,3,10,1,0,5
Bioplastic Revolution,69,0,11,12,8,4,2,9,0,1
Bit Brigade,81,1,5,2,13,2,5,5,0,3
Black Ops,65,0,6,5,14,6,8,8,1,1
BlueMotion,58,4,13,2,3,3,6,4,0,5
ByteBandits,85,2,6,10,1,8,1,6,4,0
Calystria,90,13,7,1,2,8,4,7,4,4
EcoNexus,50,4,12,7,2,8,6,3,0,1
Ecosense,70,7,6,3,14,9,0,1,3,3
ElectraTech,70,6,14,3,10,9,5,0,2,2
Electri5,56,2,5,11,14,2,6,10,4,2
Electronex,87,3,8,9,5,9,10,5,5,4
Five musketeers,71,10,6,1,10,6,3,9,3,3
Greenovators,64,3,6,6,0,4,3,8,0,1
GreenVolt,86,5,0,8,3,1,2,7,2,3
HyperSpark,89,8,14,3,9,8,1,6,5,2
Ideators,60,11,14,4,7,1,4,4,0,5
Imfactors,67,10,9,11,4,5,0,7,0,0
InnovateX,77,6,15,11,14,3,6,1,4,3
Inzight,88,14,3,13,8,3,5,5,2,3
Kyros,53,15,14,5,8,10,1,3,0,1
LegionX,70,9,13,12,1,7,2,9,5,4
MechMax,70,2,14,15,13,5,2,10,2,2
Metatrons,80,11,8,11,4,1,6,7,2,4
NeuroNest,84,8,10,11,11,3,5,3,1,1
Nexora,88,14,7,12,1,8,2,7,0,5
Nexovate,80,4,4,13,13,8,3,2,0,1
Nexus,50,9,1,8,14,9,9,10,2,1
NovaCore,84,15,9,14,1,8,1,9,1,2
Novora,56,3,7,6,10,4,8,8,4,5
Poseidon,70,3,9,13,6,2,1,7,1,5
Prometheans,79,10,13,4,6,1,10,1,4,0
ProtoForge,71,6,8,10,5,8,10,9,5,5
RAVENS,64,6,8,3,11,9,3,0,4,5
SCINVERA,88,1,6,8,7,1,9,0,5,3
Smart Freaks,75,10,13,0,0,10,3,1,2,2
Spades,56,3,4,5,0,4,4,10,5,1
Spark 07,68,0,9,5,12,3,2,1,5,3
Sparkitects,81,14,3,3,10,0,8,9,1,0
Sparklin,87,12,15,10,5,6,2,5,4,3
StackX,60,0,14,13,4,5,10,8,5,1
Stormforge,61,8,6,10,9,2,7,0,3,3
Synex,54,11,8,7,9,8,5,4,3,5
Team Smart Wave,52,5,8,9,6,7,8,3,0,4
TerraNova,83,5,13,11,6,10,7,3,5,2
Uchimaksau,75,5,4,4,3,3,10,6,3,3
Vel - Z,73,15,12,1,13,0,9,4,1,4
Verve,59,11,8,14,6,7,6,2,0,0
Volterra,50,11,14,15,7,7,4,4,5,3
Voyagers,54,11,3,2,0,0,0,9,1,3
Wasted_potential,89,9,3,15,2,5,7,10,2,5
Wolf worriors,53,2,4,14,5,9,9,5,5,5
ZYTRON,85,6,3,1,10,1,7,5,0,0
Zyvora,63,6,7,4,4,9,7,6,0,2
